date;news_count
2020-06-01;0
2020-06-02;0
2020-06-03;0
2020-06-04;0
2020-06-05;0
2020-06-06;0
2020-06-07;0
2020-06-08;0
2020-06-09;0
2020-06-10;0
2020-06-11;2
2020-06-12;4
2020-06-13;0
2020-06-14;0
2020-06-15;0
2020-06-16;0
2020-06-17;0
2020-06-18;0
2020-06-19;0
2020-06-20;0
2020-06-21;0
2020-06-22;1
2020-06-23;0
2020-06-24;0
2020-06-25;0
2020-06-26;0
2020-06-27;0
2020-06-28;0
2020-06-29;0
2020-06-30;0
2020-07-01;0
2020-07-02;0
2020-07-03;0
2020-07-04;0
2020-07-05;0
2020-07-06;0
2020-07-07;0
2020-07-08;0
2020-07-09;0
2020-07-10;0
2020-07-11;1
2020-07-12;0
2020-07-13;0
2020-07-14;0
2020-07-15;1
2020-07-16;2
2020-07-17;0
2020-07-18;0
2020-07-19;0
2020-07-20;1
2020-07-21;0
2020-07-22;0
2020-07-23;0
2020-07-24;1
2020-07-25;0
2020-07-26;0
2020-07-27;1
2020-07-28;0
2020-07-29;1
2020-07-30;0
2020-07-31;6
2020-08-01;0
2020-08-02;0
2020-08-03;0
2020-08-04;1
2020-08-05;0
2020-08-06;1
2020-08-07;0
2020-08-08;0
2020-08-09;0
2020-08-10;1
2020-08-11;1
2020-08-12;0
2020-08-13;0
2020-08-14;0
2020-08-15;0
2020-08-16;0
2020-08-17;0
2020-08-18;0
2020-08-19;0
2020-08-20;0
2020-08-21;1
2020-08-22;0
2020-08-23;0
2020-08-24;1
2020-08-25;1
2020-08-26;0
2020-08-27;0
2020-08-28;0
2020-08-29;0
2020-08-30;0
2020-08-31;0
2020-09-01;1
2020-09-02;0
2020-09-03;2
2020-09-04;3
2020-09-05;0
2020-09-06;1
2020-09-07;3
2020-09-08;8
2020-09-09;4
2020-09-10;9
2020-09-11;5
2020-09-12;2
2020-09-13;5
2020-09-14;1
2020-09-15;4
2020-09-16;4
2020-09-17;5
2020-09-18;2
2020-09-19;2
2020-09-20;0
2020-09-21;4
2020-09-22;3
2020-09-23;2
2020-09-24;3
2020-09-25;7
2020-09-26;2
2020-09-27;1
2020-09-28;6
2020-09-29;5
2020-09-30;5
2020-10-01;6
2020-10-02;10
2020-10-03;3
2020-10-04;0
2020-10-05;2
2020-10-06;10
2020-10-07;1
2020-10-08;14
2020-10-09;7
2020-10-10;8
2020-10-11;2
2020-10-12;11
2020-10-13;2
2020-10-14;2
2020-10-15;4
2020-10-16;3
2020-10-17;0
2020-10-18;1
2020-10-19;7
2020-10-20;12
2020-10-21;43
2020-10-22;25
2020-10-23;30
2020-10-24;4
2020-10-25;2
2020-10-26;6
2020-10-27;9
2020-10-28;20
2020-10-29;3
2020-10-30;10
2020-10-31;7
2020-11-01;1
2020-11-02;6
2020-11-03;6
2020-11-04;21
2020-11-05;44
2020-11-06;25
2020-11-07;5
2020-11-08;8
2020-11-09;10
2020-11-10;37
2020-11-11;4
2020-11-12;20
2020-11-13;8
2020-11-14;0
2020-11-15;7
2020-11-16;8
2020-11-17;41
2020-11-18;74
2020-11-19;21
2020-11-20;31
2020-11-21;11
2020-11-22;8
2020-11-23;31
2020-11-24;76
2020-11-25;16
2020-11-26;50
2020-11-27;19
2020-11-28;4
2020-11-29;10
2020-11-30;85
2020-12-01;57
2020-12-02;26
2020-12-03;18
2020-12-04;14
2020-12-05;14
2020-12-06;12
2020-12-07;9
2020-12-08;10
2020-12-09;14
2020-12-10;36
2020-12-11;18
2020-12-12;4
2020-12-13;3
2020-12-14;7
2020-12-15;15
2020-12-16;154
2020-12-17;120
2020-12-18;33
2020-12-19;10
2020-12-20;18
2020-12-21;35
2020-12-22;23
2020-12-23;11
2020-12-24;19
2020-12-25;10
2020-12-26;17
2020-12-27;29
2020-12-28;40
2020-12-29;27
2020-12-30;62
2020-12-31;28
2021-01-01;15
2021-01-02;93
2021-01-03;58
2021-01-04;103
2021-01-05;80
2021-01-06;70
2021-01-07;121
2021-01-08;98
2021-01-09;13
2021-01-10;83
2021-01-11;92
2021-01-12;53
2021-01-13;84
2021-01-14;66
2021-01-15;41
2021-01-16;21
2021-01-17;21
2021-01-18;27
2021-01-19;36
2021-01-20;32
2021-01-21;67
2021-01-22;39
2021-01-23;16
2021-01-24;15
2021-01-25;17
2021-01-26;14
2021-01-27;23
2021-01-28;16
2021-01-29;83
2021-01-30;28
2021-01-31;11
2021-02-01;32
2021-02-02;23
2021-02-03;11
2021-02-04;31
2021-02-05;44
2021-02-06;17
2021-02-07;16
2021-02-08;278
2021-02-09;241
2021-02-10;213
2021-02-11;114
2021-02-12;114
2021-02-13;49
2021-02-14;50
2021-02-15;88
2021-02-16;241
2021-02-17;118
2021-02-18;82
2021-02-19;151
2021-02-20;68
2021-02-21;46
2021-02-22;94
2021-02-23;154
2021-02-24;84
2021-02-25;56
2021-02-26;56
2021-02-27;19
2021-02-28;27
2021-03-01;63
2021-03-02;34
2021-03-03;43
2021-03-04;24
2021-03-05;39
2021-03-06;8
2021-03-07;10
2021-03-08;41
2021-03-09;52
2021-03-10;131
2021-03-11;24
2021-03-12;26
2021-03-13;77
2021-03-14;31
2021-03-15;64
2021-03-16;35
2021-03-17;80
2021-03-18;32
2021-03-19;19
2021-03-20;9
2021-03-21;15
2021-03-22;37
2021-03-23;27
2021-03-24;156
2021-03-25;43
2021-03-26;34
2021-03-27;9
2021-03-28;11
2021-03-29;34
2021-03-30;53
2021-03-31;37
2021-04-01;28
2021-04-02;18
2021-04-03;8
2021-04-04;10
